pump_combination                                                                                  , target_q, prevalence, power , pump      , speed , q  , pump_power
"{""grundfos_0"": 2297.0, ""grundfos_2"": 2292.0}"                                                ,       12,      64.02,  49.36, grundfos_0, 2292.0,   2,      16.31
"{""grundfos_0"": 2297.0, ""grundfos_2"": 2292.0}"                                                ,       12,      64.02,  49.36, grundfos_0, 2297.0,   8,      16.74
"{""grundfos_0"": 2297.0, ""grundfos_2"": 2292.0}"                                                ,       12,      64.02,  49.36, grundfos_2, 2292.0,   2,      16.31
"{""grundfos_0"": 2682.0, ""grundfos_2"": 2662.0}"                                                ,      605,      64.0 , 144.47, grundfos_0, 2662.0, 200,      47.75
"{""grundfos_0"": 2682.0, ""grundfos_2"": 2662.0}"                                                ,      605,      64.0 , 144.47, grundfos_0, 2682.0, 205,      48.97
"{""grundfos_0"": 2682.0, ""grundfos_2"": 2662.0}"                                                ,      605,      64.0 , 144.47, grundfos_2, 2662.0, 200,      47.75
"{""grundfos_1"": 2561.0, ""grundfos_3"": 2548.0}"                                                ,      499,      64.02, 121.14, grundfos_1, 2520.0, 159,      38.9
"{""grundfos_1"": 2561.0, ""grundfos_3"": 2548.0}"                                                ,      499,      64.02, 121.14, grundfos_1, 2561.0, 172,      41.53
"{""grundfos_1"": 2561.0, ""grundfos_3"": 2548.0}"                                                ,      499,      64.02, 121.14, grundfos_3, 2548.0, 168,      40.71
"{""grundfos_1"": 2423.0, ""grundfos_2"": 2423.0, ""grundfos_3"": 2423.0}"                        ,      363,      64.0 ,  95.58, grundfos_1, 2423.0, 121,      31.86
"{""grundfos_1"": 2423.0, ""grundfos_2"": 2423.0, ""grundfos_3"": 2423.0}"                        ,      363,      64.0 ,  95.58, grundfos_2, 2423.0, 121,      31.86
"{""grundfos_1"": 2423.0, ""grundfos_2"": 2423.0, ""grundfos_3"": 2423.0}"                        ,      363,      64.0 ,  95.58, grundfos_3, 2423.0, 121,      31.86
"{""grundfos_0"": 2445.0, ""grundfos_2"": 2457.0, ""grundfos_3"": 2457.0}"                        ,      403,      64.0 , 102.72, grundfos_0, 2445.0, 131,      33.64
"{""grundfos_0"": 2445.0, ""grundfos_2"": 2457.0, ""grundfos_3"": 2457.0}"                        ,      403,      64.0 , 102.72, grundfos_2, 2457.0, 136,      34.54
"{""grundfos_0"": 2445.0, ""grundfos_2"": 2457.0, ""grundfos_3"": 2457.0}"                        ,      403,      64.0 , 102.72, grundfos_3, 2457.0, 136,      34.54
"{""grundfos_1"": 2974.0}"                                                                        ,      268,      64.06,  67.08, grundfos_1, 2974.0, 268,      67.08
"{""grundfos_3"": 2310.0}"                                                                        ,       26,      64.0 ,  18.2 , grundfos_3, 2310.0,  26,      18.2
