pump_combination,flow,prevalence,power,target_k
"{""67"": 750}",20.8,1.6,0.193,0.003523
"{""67"": 750}",20.8,1.6,0.193,0.003522
"{""67"": 750}",20.8,1.6,0.193,0.003521
"{""67"": 750}",20.9,1.6,0.193,0.003508
"{""67"": 750}",20.9,1.6,0.193,0.003507
"{""67"": 750}",20.9,1.6,0.193,0.003506
"{""67"": 750}",20.9,1.6,0.193,0.003505
"{""67"": 750}",21.0,1.6,0.193,0.003496
"{""67"": 750}",21.0,1.6,0.193,0.003495
"{""67"": 750}",21.0,1.6,0.193,0.003494
"{""67"": 750}",21.0,1.6,0.193,0.003493
"{""67"": 750}",21.0,1.6,0.193,0.003492
"{""67"": 750}",21.0,1.6,0.193,0.003491
"{""67"": 750}",21.0,1.6,0.193,0.00349
"{""67"": 750}",21.0,1.6,0.193,0.003489
"{""67"": 750}",21.0,1.6,0.193,0.003488
"{""67"": 750}",21.0,1.6,0.193,0.003487
"{""67"": 750}",21.0,1.6,0.193,0.003486
"{""67"": 750}",21.0,1.6,0.193,0.003485
"{""67"": 750}",21.0,1.6,0.193,0.003484
"{""67"": 750}",21.1,1.6,0.194,0.003478
"{""67"": 750}",21.1,1.6,0.194,0.003477
"{""67"": 750}",21.1,1.6,0.194,0.003476
"{""67"": 750}",21.1,1.6,0.194,0.003475
"{""67"": 750}",21.1,1.6,0.194,0.003474
"{""67"": 750}",21.1,1.6,0.194,0.003473
"{""67"": 750}",21.1,1.6,0.194,0.003472
"{""67"": 750}",21.1,1.6,0.194,0.003471
"{""67"": 750}",21.1,1.6,0.194,0.00347
"{""67"": 750}",21.1,1.6,0.194,0.003469
"{""67"": 750}",21.1,1.6,0.194,0.003468
"{""67"": 750}",21.1,1.6,0.194,0.003467
"{""67"": 750}",21.1,1.6,0.194,0.003466
"{""67"": 750}",21.1,1.6,0.194,0.003465
"{""67"": 750}",21.1,1.6,0.194,0.003464
"{""67"": 750}",21.2,1.6,0.194,0.003463
"{""67"": 750}",21.2,1.6,0.194,0.003462
"{""67"": 750}",21.2,1.6,0.194,0.003461
"{""67"": 750}",21.2,1.6,0.194,0.00346
"{""67"": 750}",21.2,1.6,0.194,0.003459
"{""67"": 750}",21.2,1.6,0.194,0.003458
"{""67"": 750}",21.2,1.6,0.194,0.003457
"{""67"": 750}",21.2,1.6,0.194,0.003456
"{""67"": 750}",21.2,1.6,0.194,0.003455
"{""67"": 750}",21.2,1.6,0.194,0.003454
"{""67"": 750}",21.2,1.6,0.194,0.003453
"{""67"": 750}",21.2,1.6,0.194,0.003452
"{""67"": 750}",21.2,1.6,0.194,0.003451
"{""67"": 750}",21.2,1.6,0.194,0.00345
"{""67"": 750}",21.2,1.6,0.194,0.003449
"{""67"": 750}",21.2,1.6,0.194,0.003448
"{""67"": 750}",21.2,1.6,0.194,0.003447
"{""67"": 750}",21.3,1.6,0.194,0.003446
"{""67"": 750}",21.3,1.6,0.194,0.003445
"{""67"": 750}",21.3,1.6,0.194,0.003444
"{""67"": 750}",21.3,1.6,0.194,0.003443
"{""67"": 750}",21.3,1.6,0.194,0.003442
"{""67"": 750}",21.3,1.6,0.194,0.003441
"{""67"": 750}",21.3,1.6,0.194,0.00344
"{""67"": 750}",21.3,1.6,0.194,0.003439
"{""67"": 750}",21.3,1.6,0.194,0.003438
"{""67"": 750}",21.3,1.6,0.194,0.003437
"{""67"": 750}",21.3,1.6,0.194,0.003436
"{""67"": 750}",21.3,1.6,0.194,0.003435
"{""67"": 750}",21.3,1.6,0.194,0.003434
"{""67"": 750}",21.3,1.6,0.194,0.003433
"{""67"": 750}",21.3,1.6,0.194,0.003432
"{""67"": 750}",21.4,1.6,0.194,0.003431
"{""67"": 750}",21.4,1.6,0.194,0.00343
"{""67"": 750}",21.4,1.6,0.194,0.003429
"{""67"": 750}",21.4,1.6,0.194,0.003428
"{""67"": 750}",21.4,1.6,0.194,0.003427
"{""67"": 750}",21.4,1.6,0.194,0.003426
"{""67"": 750}",21.4,1.6,0.194,0.003425
"{""67"": 750}",21.4,1.6,0.194,0.003424
"{""67"": 750}",21.4,1.6,0.194,0.003423
"{""67"": 750}",21.4,1.6,0.194,0.003422
"{""67"": 750}",21.4,1.6,0.194,0.003421
"{""67"": 750}",21.4,1.6,0.194,0.00342
"{""67"": 750}",21.4,1.6,0.194,0.003419
"{""67"": 750}",21.4,1.6,0.194,0.003418
"{""67"": 750}",21.4,1.6,0.194,0.003417
"{""67"": 750}",21.4,1.6,0.194,0.003416
"{""67"": 750}",21.4,1.6,0.194,0.003415
"{""67"": 750}",21.5,1.6,0.195,0.003414
"{""67"": 750}",21.5,1.6,0.195,0.003413
"{""67"": 750}",21.5,1.6,0.195,0.003412
"{""67"": 750}",21.5,1.6,0.195,0.003411
"{""67"": 750}",21.5,1.6,0.195,0.00341
"{""67"": 750}",21.5,1.6,0.195,0.003409
"{""67"": 750}",21.5,1.6,0.195,0.003408
"{""67"": 750}",21.5,1.6,0.195,0.003407
"{""67"": 750}",21.5,1.6,0.195,0.003406
"{""67"": 750}",21.5,1.6,0.195,0.003405
"{""67"": 750}",21.5,1.6,0.195,0.003404
"{""67"": 750}",21.5,1.6,0.195,0.003403
"{""67"": 750}",21.5,1.6,0.195,0.003402
"{""67"": 750}",21.5,1.6,0.195,0.003401
"{""67"": 750}",21.5,1.6,0.195,0.0034
"{""67"": 750}",21.6,1.6,0.195,0.003399
"{""67"": 750}",21.6,1.6,0.195,0.003398
"{""67"": 750}",21.6,1.6,0.195,0.003397
"{""67"": 750}",21.6,1.6,0.195,0.003396
"{""67"": 750}",21.6,1.6,0.195,0.003395
"{""67"": 750}",21.6,1.6,0.195,0.003394
"{""67"": 750}",21.6,1.6,0.195,0.003393
"{""67"": 750}",21.6,1.6,0.195,0.003392
"{""67"": 750}",21.6,1.6,0.195,0.003391
"{""67"": 750}",21.6,1.6,0.195,0.00339
"{""67"": 750}",21.6,1.6,0.195,0.003389
"{""67"": 750}",21.6,1.6,0.195,0.003388
"{""67"": 750}",21.6,1.6,0.195,0.003387
"{""67"": 750}",21.6,1.6,0.195,0.003386
"{""67"": 750}",21.6,1.6,0.195,0.003385
"{""67"": 750}",21.6,1.6,0.195,0.003384
"{""67"": 750}",21.6,1.6,0.195,0.003383
"{""67"": 750}",21.7,1.6,0.195,0.003382
"{""67"": 750}",21.7,1.6,0.195,0.003381
"{""67"": 750}",21.7,1.6,0.195,0.00338
"{""67"": 750}",21.7,1.6,0.195,0.003379
"{""67"": 750}",21.7,1.6,0.195,0.003378
"{""67"": 750}",21.7,1.6,0.195,0.003377
"{""67"": 750}",21.7,1.6,0.195,0.003376
"{""67"": 750}",21.7,1.6,0.195,0.003375
"{""67"": 750}",21.7,1.6,0.195,0.003374
"{""67"": 750}",21.7,1.6,0.195,0.003373
"{""67"": 750}",21.7,1.6,0.195,0.003372
"{""67"": 750}",21.7,1.6,0.195,0.003371
"{""67"": 750}",21.7,1.6,0.195,0.00337
"{""67"": 750}",21.7,1.6,0.195,0.003369
"{""67"": 750}",21.7,1.6,0.195,0.003368
"{""67"": 750}",21.8,1.6,0.195,0.003367
"{""67"": 750}",21.8,1.6,0.195,0.003366
"{""67"": 750}",21.8,1.6,0.195,0.003365
"{""67"": 750}",21.8,1.6,0.195,0.003364
"{""67"": 750}",21.8,1.6,0.195,0.003363
"{""67"": 750}",21.8,1.6,0.195,0.003362
"{""67"": 750}",21.8,1.6,0.195,0.003361
"{""67"": 750}",21.8,1.6,0.195,0.00336
"{""67"": 750}",21.8,1.6,0.195,0.003359
"{""67"": 750}",21.8,1.6,0.195,0.003358
"{""67"": 750}",21.8,1.6,0.195,0.003357
"{""67"": 750}",21.8,1.6,0.195,0.003356
"{""67"": 750}",21.8,1.6,0.195,0.003355
"{""67"": 750}",21.8,1.6,0.195,0.003354
"{""67"": 750}",21.8,1.6,0.195,0.003353
"{""67"": 750}",21.8,1.6,0.195,0.003352
"{""67"": 750}",21.9,1.6,0.195,0.003351
"{""67"": 750}",21.9,1.6,0.195,0.00335
"{""67"": 750}",21.9,1.6,0.195,0.003349
"{""67"": 750}",21.9,1.6,0.195,0.003348
"{""67"": 750}",21.9,1.6,0.195,0.003347
"{""67"": 750}",21.9,1.6,0.195,0.003346
"{""67"": 750}",21.9,1.6,0.195,0.003345
"{""67"": 750}",21.9,1.6,0.195,0.003344
"{""67"": 750}",21.9,1.6,0.195,0.003343
"{""67"": 750}",21.9,1.6,0.195,0.003342
"{""67"": 750}",21.9,1.6,0.195,0.003341
"{""67"": 750}",21.9,1.6,0.195,0.00334
"{""67"": 750}",21.9,1.6,0.195,0.003339
"{""67"": 750}",21.9,1.6,0.195,0.003338
"{""67"": 750}",21.9,1.6,0.195,0.003337
"{""67"": 750}",22.0,1.6,0.196,0.003336
"{""67"": 750}",22.0,1.6,0.196,0.003335
"{""67"": 750}",22.0,1.6,0.196,0.003334
"{""67"": 750}",22.0,1.6,0.196,0.003333
"{""67"": 750}",22.0,1.6,0.196,0.003332
"{""67"": 750}",22.0,1.6,0.196,0.003331
"{""67"": 750}",22.0,1.6,0.196,0.00333
"{""67"": 750}",22.0,1.6,0.196,0.003329
"{""67"": 750}",22.0,1.6,0.196,0.003328
"{""67"": 750}",22.0,1.6,0.196,0.003327
"{""67"": 750}",22.0,1.6,0.196,0.003326
"{""67"": 750}",22.0,1.6,0.196,0.003325
"{""67"": 750}",22.0,1.6,0.196,0.003324
"{""67"": 750}",22.0,1.6,0.196,0.003323
"{""67"": 750}",22.0,1.6,0.196,0.003322
"{""67"": 750}",22.1,1.6,0.196,0.003321
"{""67"": 750}",22.1,1.6,0.196,0.00332
"{""67"": 750}",22.1,1.6,0.196,0.003319
"{""67"": 750}",22.1,1.6,0.196,0.003318
"{""67"": 750}",22.1,1.6,0.196,0.003317
"{""67"": 750}",22.1,1.6,0.196,0.003316
"{""67"": 750}",22.1,1.6,0.196,0.003315
"{""67"": 750}",22.1,1.6,0.196,0.003314
